x1,x2,y
46,31,31
46,89,-85
85,10,151
67,70,-5
48,95,-93
27,76,-97
72,73,-1
62,89,-53
12,48,-71
55,31,49
14,100,-171
41,55,-27
88,68,41
75,29,93
65,87,-43
93,77,33
9,23,-27
71,46,51
21,17,9
31,40,-17
68,2,133
99,80,39
29,84,-109
86,74,25
27,50,-45
25,90,-129
45,52,-13
27,74,-93
64,45,39
33,88,-109
9,51,-83
45,17,57
26,3,47
38,49,-21
89,22,135
42,5,75
82,93,-21
49,51,-3
99,67,65
25,77,-103
73,100,-53
78,52,53
18,51,-65
74,41,67
66,36,61
63,92,-57
56,18,77
72,34,77
78,33,91
59,27,65
49,14,71
26,28,-3
95,59,73
89,47,85
52,93,-81
36,22,29
33,56,-45
83,6,155
43,45,-3
24,59,-69
22,52,-59
51,15,73
72,52,41
35,89,-107
45,24,43
23,15,17
93,7,173
10,9,3
57,49,17
12,96,-167
43,18,51
10,78,-135
25,17,17
11,69,-115
77,32,91
57,40,35
59,36,47
28,65,-73
88,6,165
34,6,57
10,71,-121
22,86,-127
59,7,105
14,25,-21
97,21,153
88,62,53
91,78,27
97,77,41
66,39,55
88,44,89
44,69,-49
12,60,-95
90,84,13
21,46,-49
76,91,-29
43,18,51
88,64,49
74,48,53
45,57,-23
23,32,-17
